SUDT ACCESSPORT LOG FILE - Monitor mode

Monitor: COM1 COM2
Create Time: 2020-01-09, 08:58:36
Computer Name: HC04096
System version:  (Build 9200)

#	Time		Duration (s)	Process		Request                             	Port	Result	Data ( Hex )	

1	08:55:51.307	0.00318060	SmartPack.exe	IRP_MJ_CREATE                       	COM1	SUCCESS	Port Opened	
2	08:55:51.310	0.00065410	SmartPack.exe	IOCTL_SERIAL_SET_BAUD_RATE          	COM1	SUCCESS	Baud Rate: 115200	
3	08:55:51.311	0.00059150	SmartPack.exe	IOCTL_SERIAL_CLR_RTS                	COM1	SUCCESS		
4	08:55:51.312	0.00059700	SmartPack.exe	IOCTL_SERIAL_SET_DTR                	COM1	SUCCESS		
5	08:55:51.312	0.00000250	SmartPack.exe	IOCTL_SERIAL_SET_LINE_CONTROL       	COM1	SUCCESS	StopBits: 1, Parity: No, DataBits: 8	
6	08:55:51.312	0.00000140	SmartPack.exe	IOCTL_SERIAL_SET_CHARS              	COM1	SUCCESS	EofChar: 0x0, ErrorChar: 0x0, BreakChar: 0x0, EventChar: 0x0, XonChar: 0x11, XoffChar: 0x13	
7	08:55:51.312	0.00191820	SmartPack.exe	IOCTL_SERIAL_SET_HANDFLOW           	COM1	SUCCESS	ControlHandShake: 0x1, FlowReplace: 0x0, XonLimit: 0, XoffLimit: 32768	
8	08:55:51.314	0.00000200	SmartPack.exe	IOCTL_SERIAL_SET_TIMEOUTS           	COM1	SUCCESS	ReadIntervalTimeout: -1, ReadTotalTimeoutMultiplier: 0, ReadTotalTimeoutConstant: 0, WriteTotalTimeoutMultiplier: 0, WriteTotalTimeoutConstant: 0	
9	08:55:51.314	0.00008130	SmartPack.exe	IOCTL_SERIAL_SET_WAIT_MASK          	COM1	SUCCESS	Mask: RXCHAR	
10	08:55:51.314	15.62079730	SmartPack.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM1	SUCCESS		
11	08:55:51.329	0.00590010	SmartPack.exe	IRP_MJ_CREATE                       	COM2	SUCCESS	Port Opened	
12	08:55:51.335	0.00090660	SmartPack.exe	IOCTL_SERIAL_SET_BAUD_RATE          	COM2	SUCCESS	Baud Rate: 115200	
13	08:55:51.336	0.00059710	SmartPack.exe	IOCTL_SERIAL_CLR_RTS                	COM2	SUCCESS		
14	08:55:51.336	0.00063370	SmartPack.exe	IOCTL_SERIAL_SET_DTR                	COM2	SUCCESS		
18	08:55:51.339	0.00001130	SmartPack.exe	IOCTL_SERIAL_SET_TIMEOUTS           	COM2	SUCCESS	ReadIntervalTimeout: -1, ReadTotalTimeoutMultiplier: 0, ReadTotalTimeoutConstant: 0, WriteTotalTimeoutMultiplier: 0, WriteTotalTimeoutConstant: 0	
19	08:55:51.339	0.00000180	SmartPack.exe	IOCTL_SERIAL_SET_WAIT_MASK          	COM2	SUCCESS	Mask: RXCHAR	
20	08:55:51.339	15.59641970	SmartPack.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM2	SUCCESS		
21	08:55:55.043	0.00012190	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
22	08:55:55.043	0.00006880	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
23	08:55:55.234	0.00013640	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
25	08:55:55.284	0.00014330	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
26	08:55:55.285	0.00014100	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
27	08:55:55.335	0.00017630	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
