SUDT ACCESSPORT LOG FILE - Monitor mode

Monitor: COM1 COM2
Create Time: 2020-01-08, 14:24:00
Computer Name: HC04096
System version:  (Build 9200)

#	Time		Duration (s)	Process		Request                             	Port	Result	Data ( Hex )	

38	14:22:36.426	0.00012130	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
39	14:22:36.475	0.00014950	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
40	14:22:36.476	0.00015230	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
41	14:22:36.525	0.00015950	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
42	14:22:36.526	0.00012080	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
43	14:22:36.575	0.00010900	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
44	14:22:36.577	0.00010420	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
45	14:22:36.626	0.00014340	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
46	14:22:36.627	0.00011360	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
47	14:22:36.675	0.00015210	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
48	14:22:36.676	0.00015080	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
49	14:22:36.725	0.00018770	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
50	14:22:36.725	0.00011400	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
51	14:22:36.775	0.00015250	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
52	14:22:36.775	0.00010840	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
53	14:22:36.826	0.00000000	SmartPack.exe	IRP_MJ_WRITE                        	COM1		Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
54	14:22:36.826	0.00012680	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
55	14:22:36.875	0.00015670	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
56	14:22:36.876	0.00000000	SmartPack.exe	IRP_MJ_WRITE                        	COM2		Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
57	14:22:36.925	0.00028100	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
58	14:22:36.925	0.00023720	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
59	14:22:36.975	0.00014970	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
60	14:22:36.975	0.00009830	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
61	14:22:37.025	0.00018330	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
62	14:22:37.028	0.00013630	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
63	14:22:37.075	0.00017060	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
64	14:22:37.077	0.00011510	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
65	14:22:37.125	0.00015450	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
66	14:22:37.126	0.00014940	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
67	14:22:37.175	0.00015560	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
68	14:22:37.176	0.00000000	SmartPack.exe	IRP_MJ_WRITE                        	COM2		Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
69	14:22:37.225	0.00017570	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
70	14:22:37.225	0.00041990	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
71	14:22:37.275	0.00015260	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
73	14:22:37.325	0.00014120	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
74	14:22:37.325	0.00012380	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
75	14:22:37.375	0.00000000	SmartPack.exe	IRP_MJ_WRITE                        	COM1		Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
76	14:22:37.377	0.00017970	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
77	14:22:37.425	0.00014370	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
78	14:22:37.425	0.00010070	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
79	14:22:37.475	0.00015440	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
80	14:22:37.478	0.00013450	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
81	14:22:37.526	0.00015180	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
82	14:22:37.526	0.00010280	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
83	14:22:37.576	0.00015630	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
84	14:22:37.576	0.00012620	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
85	14:22:37.625	0.00015520	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
86	14:22:37.626	0.00038000	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
87	14:22:37.675	0.00017230	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
88	14:22:37.675	0.00014480	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
89	14:22:37.725	0.00015900	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
90	14:22:37.726	0.00012490	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
91	14:22:37.775	0.00015790	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
92	14:22:37.776	0.00012120	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
93	14:22:37.825	0.00015740	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
94	14:22:37.826	0.00010510	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
95	14:22:37.875	0.00020010	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
96	14:22:37.876	0.00012630	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
97	14:22:37.925	0.00015840	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
98	14:22:37.926	0.00010990	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
99	14:22:37.975	0.00015420	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
100	14:22:37.976	0.00017440	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
101	14:22:38.025	0.00041890	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
102	14:22:38.025	0.00009990	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
103	14:22:38.075	0.00011700	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
104	14:22:38.077	0.00009920	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
105	14:22:38.125	0.00022740	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
106	14:22:38.127	0.00012590	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
107	14:22:38.575	0.00008500	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
